"Description_1";"Description_2";"id"
"Serpent's Tooth Cocktail";" sweet vermouth, lemon juice, Irish whiskey, kummel, sugar, Angostura bitters";2083.0
"Sesame Cocktail";" white rum, sesame seed syrup, lime juice";2084.0
"Settler Hiball";" Cognac, crème de cassis";2085.0
"Seven Fruits Cocktail";" Bourbon, Seven Fruits liqueur, Angostura bitters, orange bitters";2086.0
"Seventh Regiment Cocktail";" gin, sweet vermouth";2087.0
"S.g. Cocktail";" orange juice, lemon juice, rye whiskey, grenadine";2088.0
"Shady Grove (cooler)";" gin, lemon juice, sugar";2089.0
"Shaluta Cocktail";" gin, lemon juice, claret, sugar";2090.0
"Sharky Hiball";" applejack, lemon juice, Bourbon, sugar";2091.0
"Shaun Banigan Cocktail";" dark rum, white rum, lemon juice, sugar, aromatic bitters";2092.0
"Sheik's Breath Cocktail";" gin, lemon juice, Swedish Punch/Punsch";2093.0
"Sherman Cocktail";" Bourbon or rye whiskey, Jamaican rum, Port, Angostura bitters, orange bitters";2094.0
"Sheraton Sherazade";" orange juice, Galliano, apricot flavored brandy, triple sec, lemon juice";2095.0
"Sherried Coffee Cocktail";" coffee-flavored liqueur, cocktail Sherry, cream";2096.0
"Sherried C & M Frappe";" Cordial Medoc, cocktail Sherry";2097.0
"Sherried Scotch";" cocktail Sherry or cream, blended Scotch, orange juice, honey, Angostura bitters";2098.0
"Sherry & Egg Cocktail";" egg";2100.0
"Sherry Cobbler";" cocktail Sherry, soda, orange juice, sugar or soda";2101.0
"Sherry Cobbler Variation";" cocktail Sherry, soda, Port, pineapple syrup, sugar or soda";2102.0
"Sherry Cobbler #2";" cocktail Sherry, brandy, orange juice, sugar";2103.0
"Sherry Driver";" orange juice, cocktail Sherry, vodka";2104.0
"Sherry Old Fashioned";" cocktail Sherry, water or sugar, orange bitters";2105.0
"Sherry Punch";" cocktail Sherry, lemon juice, sugar";2106.0
"Sherry Sangaree";" cocktail Sherry, Port, water or sugar";2107.0
"Ship Cocktail";" cocktail Sherry, Bourbon, white rum, orange bitters, prune syrup";2108.0
"Shot In The Arm";" cream, brandy, crème de menthe, grenadine";2109.0
"Shrapnel Cocktail";" Bourbon, sweet vermouth, dry vermouth, apricot flavored brandy";2110.0
"Silk Purse";" sour mix or lemon wheel, cream, Kahlua";2111.0
"Silver Ball Fizz";" Rhine wine, grapefruit juice, egg white, sugar, orange flower water";2112.0
"Silver Dawn Cocktail";" lemon juice, gin, Galliano, maple syrup";2113.0
"Silver Flash Cocktail";" sloe gin, Benedictine, orange bitters";2114.0
"Silver Kirsch Cocktail";" egg white, Positana, kirsch, lemon juice, sugar";2115.0
"Silver Streak Cocktail";" gin, kummel";2116.0
"Sink Or Swim Cocktail";" brandy, sweet vermouth, Angostura bitters";2117.0
"Sir Charles Punch";" Port, brandy, Curaçao, sugar";2118.0
"Sir Knight Cocktail";" Cognac, Yellow Chartreuse, Cointreau, Angostura bitters";2119.0
"Sir Ridgeway Knight Cocktail";" Yellow Chartreuse, triple sec, brandy, Angostura bitters";2120.0
"Singapore Cocktail";" Canadian whiskey, lemon juice, Rose's Lime Juice, sloe gin";2121.0
"Sit Down Strike Cocktail";" lemon juice, pastis, Benedictine, Cognac";2122.0
"Six Cylinder Cocktail";" Dubonnet, Campari, cherry flavored brandy, gin, sweet vermouth, dry vermouth";2123.0
"Six Degree Cocktail";" gin, cherry flavored brandy, kirsch, kummel";2124.0
"Six Feet Under Cocktail";" white rum, Calvados, Swedish Punch/Punsch";2125.0
"Six O Six Cocktail";" gin, Cointreau, cochineal, pastis, lemon juice";2126.0
"Skier's Smoothie";" Galliano";2127.0
"Skipper Cocktail";" gin, maraschino liqueur, lemon juice, grenadine";2128.0
"Skippy";" orange juice, lemon juice, triple sec, white rum, apricot flavored brandy, Galliano, crème de prunelle, dry vermouth";2129.0
"Sky Pilot Cocktail";" applejack, Jamaican rum, grenadine, lime juice";2130.0
"Skyscraper";" Cognac, Yellow Chartreuse, crème de menthe, maraschino liqueur, crème de vanille";2131.0
"Slam Cocktail";" Cointreau, Cognac, lime juice, apricot flavored brandy";2132.0
"Slam Cocktail Variation";" brandy, gin, lemon juice, apricot flavored brandy";2133.0
"Sleepy Hollow";" gin, lemon juice or sprig of mint, apricot flavored brandy, sugar";2134.0
"Sloeberry Cocktail";" sloe gin, orange bitters, Angostura bitters";2135.0
"Sloe Cranberry Cooler";" cranberry juice, sloe gin, lemon juice";2136.0
"Sloe Gin Cocktail";" sloe gin, dry vermouth, orange bitters";2137.0
"Sloe Gin Cocktail Variation";" sloe gin, dry vermouth";2138.0
"Sloe Gin Cocktail Variation";" sloe gin, Angostura bitters, orange bitters";2139.0
"Sloe Lime Frappe";" white rum, lime liqueur, sloe gin";2140.0
"Small Dinger";" gin, grenadine, lemon juice, white rum";2141.0
"Smart Alec Cocktail";" Cognac, Yellow Chartreuse, Cointreau, orange bitters";2142.0
"Smedley Cocktail";" crème de menthe, Galliano, lemon juice";2143.0
"Smith And Wesson";" Kahlua";2144.0
"Smoothie";" Kahlua, lemon juice, gin, sugar";2145.0
"Snapper";" gin, crème de menthe";2146.0
"Snicker Cocktail";" gin, egg white, dry vermouth, maraschino liqueur, sugar, orange bitters";2147.0
"Snoopy";" Bourbon, Campari, Galliano, Grand Marnier, lemon juice";2148.0
"Snowball Cocktail";" gin, cream, anisette";2149.0
"Snowball Cocktail #2";" gin, cream, anisette, crème de menthe, crème de violette";2150.0
"Snowball Hiball";" Bourbon, egg white";2151.0
"Snow Drop";" egg white, cream, triple sec, crème de cacao, vodka, Galliano";2152.0
"Snowflake";" cream, Galliano, Yellow Chartreuse, Cointreau";2153.0
"Snow Job";" Tuaca, cream, coconut piece";2154.0
"Snow White Cocktail";" white rum, egg white, pineapple juice, lime juice, sugar";2155.0
"Soft Touch";" milk, Galliano, honey";2156.0
"Some Mother Cocktail";" London dry gin, dry vermouth, pastis";2157.0
"Somerset Cocktail";" white rum, papaya nectar, crème de banane, lemon juice";2158.0
"Sonora Cocktail";" white rum, applejack, apricot flavored brandy, lemon juice";2159.0
"Sonza's (wilson) Cocktail";" gin, cherry flavored brandy, grenadine, lemon juice";2160.0
"So So Cocktail";" sweet vermouth, gin, grenadine, apple brandy or Calvados";2161.0
"Sourire Commercial";" Dubonnet, Cognac, orange juice, Cointreau, gin, Angostura bitters";2162.0
"Sour Kisses Cocktail";" gin, dry vermouth, egg white";2163.0
"Sour Kisses Cocktail Variation";" gin, dry vermouth, orange flower water";2164.0
"Sourteq";" Tequila, lemon juice, sugar";2165.0
"South African 'sundowner' Cocktail";" Cape of Good Hope Brandy, Van der Hum or liqueur, orange juice, lemon juice";2166.0
"South Camp Special";" cherry flavored brandy, blended Scotch, gin, Jamaican rum, dry vermouth, lime juice";2167.0
"Southern";" Bourbon, lemon juice, grenadine, Benedictine";2168.0
"Southern Banana Comfort";" Southern Comfort, gold rum, lime juice, sugar";2169.0
"Southern Banger";" vodka, Southern Comfort";2170.0
"Southern Blazer";" water, coffee-flavored liqueur, Southern Comfort, Angostura bitters";2171.0
"Southern Coffee";" Southern Comfort, brown sugar";2172.0
"Southern Coffee Deluxe";" Southern Comfort, crème de cacao";2173.0
"Southern Coffee (supreme)";" Southern Comfort, Kahlua";2174.0
"Southern Comfort Hiball";" Southern Comfort";2175.0
"Southern Comfort Sparkle";" pineapple juice, Southern Comfort, lemon juice";2176.0
"Southern Cross";" brandy, white rum, lime juice, Curaçao, sugar";2177.0
"Southern Dream";" cream, Galliano, vanilla ice cream, orange juice, Southern Comfort";2178.0
"Southern Gal";" Cointreau, Southern Comfort, Galliano";2179.0
"Southern Ginger Cocktail";" Bourbon, ginger ale, ginger-flavored brandy liqueur, lemon juice";2180.0
"Southern Hospitality";" Southern Comfort";2181.0
"Southern Mint Julep";" Bourbon, sprig of mint, ice, Bourbon, sugar";2182.0
"Southern Peach";" Southern Comfort, cream, peach liqueur";2183.0
"Southern Pines";" gin, Galliano, cream, egg white, pastis, sugar";2184.0
"Southern Strawberry Frappe";" strawberry-flavored liqueur, Southern Comfort";2185.0
"Southern Pacific Cocktail";" brandy, crème de banane, lemon juice, crème de menthe";2186.0
"South Sea Cocktail";" white rum, lime juice, Curaçao";2187.0
"South Sea Dipper";" white rum, Port, pineapple juice, lemon juice, Passionfruit liqueur, sugar";2188.0
"South Side Fizz";" gin, lemon juice, sugar";2189.0
"Southwest One";" vodka, Campari, orange juice";2190.0
"Soviet Salute";" vodka, dry vermouth, cocktail Sherry";2191.0
"Soyer Au Champagne Cocktail";" vanilla ice cream, brandy, Curaçao, maraschino liqueur";2192.0
"Spanish Cocktail";" sweet vermouth, grated orange zest, Angostura bitters";2193.0
"Spanish Rocket";" orange juice, Tequila, Galliano";2194.0
"Sparkling Galliano";" Galliano, lemon juice";2195.0
"Spartan Cocktail";" gin, orgeat, orange juice";2196.0
"Special Manhattan Cocktail";" Bourbon or rye whiskey, sweet vermouth, Campari";2197.0
"Spion Kop Cocktail";" Dubonnet, dry vermouth";2198.0
"Spring Cocktail";" gin, quinquina, Benedictine, aromatic bitters";2199.0
"Sputnik Cocktail";" vodka, lemon juice, Fernet Branca, sugar";2200.0
"S. S. Manhattan Cocktail";" Bourbon, orange juice, Benedictine";2201.0
"Starboard Light";" crème de menthe, gin";2202.0
"Starboard Light Variation";" crème de menthe, lemon juice";2203.0
"Starlight Cocktail";" gin, Curaçao, Angostura bitters";2204.0
"Stars In Your Hair";" gin, crème de menthe, liqueur or fruit garnish";2205.0
"Steeplejack";" apple juice, apple brandy, lime juice";2206.0
"Stella Roma";" 7-Up, egg white, gin, Galliano, Campari";2207.0
"Stephen's Cocktail";" cocktail Sherry, Benedictine, dry vermouth";2208.0
"Sterling Cocktail";" white rum, orange juice, Benedictine";2209.0
"Stinger Reserve";" rye whiskey, orange juice, pastis, dry vermouth";2210.0
"Stinger Royal";" brandy, crème de menthe, pastis";2211.0
"Stolen Kisses Cocktail";" egg white, pastis, gin, sugar";2212.0
"Stomach Reviver Cocktail";" kummel, brandy, Fernet Branca, Angostura bitters";2213.0
"Stone Cocktail";" cocktail Sherry, sweet vermouth, white rum";2214.0
"Stonybrook Cocktail";" egg white, blended whiskey, triple sec, orgeat";2215.0
"Stormcloud";" lemon juice, vodka, crème de cacao, grenadine";2216.0
"Stout Sangaree";" soda, sugar or soda";2217.0
"Straits Sling";" gin, lemon juice, cherry brandy, Benedictine, orange bitters, Angostura bitters";2218.0
"Stratosphere Cocktail";" white rum, lemon juice, brandy, cherry liqueur, sugar";2219.0
"Strawberry Blonde";" Rhine wine, whole strawberry, strawberry-flavored liqueur, kirsch";2220.0
"Strawberry Cream Cooler";" gin, lemon juice, cream, sugar";2221.0
"Strawberry Fizz";" cream, lemon juice, sugar";2222.0
"Strawberry Kiss";" strawberry-flavored liqueur, orange juice, white rum, kirsch, lemon juice";2223.0
"Strawberry Rum Flip";" white rum, strawberry-flavored liqueur, egg, lemon juice, sugar";2224.0
"Strawberry Swig";" gin, strawberry-flavored liqueur, lime juice, orange bitters";2225.0
"Strawberry Vermouth";" dry vermouth, gin, groseille syrup";2226.0
"Streaker Cocktail";" cream, anisette, crème de cacao";2227.0
"Strega Fizz";" lemon juice, Strega, gin";2228.0
"Strega Flip";" brandy, Strega, orange juice, egg, lemon juice, sugar";2229.0
"Strega Sour";" gin, lemon juice, Strega";2230.0
"Strike's Off Cocktail";" gin, lemon juice, Swedish Punch/Punsch";2231.0
"Stirrup Cocktail";" Bourbon, orange juice, Angostura bitters";2232.0
"Submarine Cocktail";" gin, dry vermouth, Dubonnet, Boker's bitters";2233.0
"Suburban Cocktail (suburb Cocktail)";" Bourbon, Jamaican rum, Port, orange bitters, Angostura bitters";2234.0
"Sudan Cooler";" dry vermouth, sweet vermouth, gin, lime juice";2235.0
"Suffering Haole";" gin, Rose's Lime Juice, brandy";2236.0
"Suicide Cocktail";" Haitian rum, soda, crème de cacao";2237.0
"Suisse Cocktail";" pastis, egg white, anisette or sugar";2238.0
"Suisette Cocktail";" lemon juice, brandy, pastis, egg, sweet vermouth, sugar";2239.0
"Suissesse Milanese";" egg white, Galliano, anisette";2240.0
"Summer Time";" gin, sirop de citron";2241.0
"Sun Cocktail";" brandy, Curaçao, maraschino liqueur, pineapple syrup, lemon juice, Angostura bitters";2242.0
"Sunrise Cocktail";" Tequila, cream, crème de banane, Galliano, lemon juice, grenadine";2243.0
"Sunrise (pousse Cafe)";" Cointreau, Yellow Chartreuse, crème de violette, grenadine";2244.0
"Sunrise (flaming)";" Cognac, lime juice, lime juice or sugar";2245.0
"Sunset #1";" Tequila, grenadine, lime juice";2246.0
"Sunset #2";" Galliano, cream, papaya nectar, Cointreau";2247.0
"Sunset Limited";" Muscatel, lemon juice, Angostura bitters";2248.0
"Sunshade Cocktail";" white rum, dry vermouth, pineapple juice, grenadine";2249.0
"Sun Trap";" gin, Tia Maria, dry vermouth, lime juice";2250.0
"Sun Valley Special";" sweet vermouth";2251.0
"Superior Cocktail";" white rum, lemon juice, sweet vermouth, apricot flavored brandy";2252.0
"Supreme Cocktail";" white rum, sweet vermouth, lemon juice, Benedictine";2253.0
"Surprised Cocktail";" Jamaican rum, orange juice, kummel, pimento dram";2254.0
"Sutton's Gin Blind";" gin, Curaçao, brandy";2255.0
"Svetlana";" vodka, sweet vermouth, orange juice, kirsch";2256.0
"Swan Cocktail";" lime juice, dry vermouth, gin, pastis, Abbott's bitters";2257.0
"Swan Song Cocktail";" orange juice, applejack, brandy, grenadine";2258.0
"Swedish Hiball";" Swedish Punch/Punsch, aromatic bitters";2259.0
"Sweeney's Cocktail";" brandy, pineapple juice, maraschino liqueur, Angostura bitters";2260.0
"Sweet Dream(s) Cocktail";" apricot flavored brandy, white rum, gin, pineapple juice";2261.0
"Sweetie Pie Cocktail";" gin, Yellow Chartreuse, cherry flavored brandy";2262.0
"Swing High, Swing Low";" gin, Cointreau, white rum, pastis";2263.0
"Swiss Cocktail";" kirsch, Dubonnet";2264.0
"Swiss Alexander";" cream, brandy, Cheri Suisse";2265.0
"Swiss Alps";" Cheri Suisse, crème de cacao, vodka";2266.0
"Swiss Family Cocktail";" sweet vermouth, pastis, aromatic bitters";2267.0
"Swiss Miss";" Cheri Suisse, brandy";2268.0
"Swisstz";" Cheri Suisse, vodka";2269.0
"Symphony Of Moist Joy";" Cognac, Yellow Chartreuse, crème de menthe, grenadine";2270.0
"Tabu Cocktail";" white rum, grenadine or cranberry or syrup, lemon juice, sugar";2271.0
"Tago Cocktail";" orange juice, gin, sweet vermouth, dry vermouth, orange juice, Curaçao";2272.0
"Tahitian Honey Bee";" white rum, lemon juice, honey";2273.0
"Tahitian Rhum Punch";" Martinique rum, lime juice, sugar";2274.0
"Tahiti Typhoon";" gin, Cointreau, lime juice";2275.0
"Tahoe Cocktail";" white rum, cherry flavored brandy, lime juice";2276.0
"Take It Or Leave It Cocktail";" gin, dry vermouth, apricot flavored brandy, grenadine, lemon juice";2277.0
"Tall Dutch Eggnog";" milk, white rum, advocaat or liqueur, orange juice, 151 proof rum, sugar";2278.0
"Tall Islander";" pineapple juice, white rum, lime juice, dark rum, sugar";2279.0
"Tamarind Punch";" tamarind, gin, lemon juice, sugar";2280.0
"Tammany Cocktail";" dry vermouth, sweet vermouth, gin, pastis";2281.0
"Tam O'shanter (see Cutty Sark)";" blended Scotch, lemon juice, sugar";2282.0
"Tampa Cocktail";" white rum, gin, lemon juice";2283.0
"Tampa Tarpon";" orange juice, Bourbon, triple sec, sugar";2284.0
"Tanglefoot Cocktail";" Swedish Punch/Punsch, white rum, orange juice, lemon juice";2285.0
"Tantalus Cocktail";" brandy, lemon juice, Forbidden Fruit";2286.0
"Tapa Punch";" lemon juice, gold rum, lime juice, rum, peach-flavored brandy liqueur, sugar";2287.0
"Tea Punch";" brandy, lemon juice, white rum, sugar";2288.0
"Tender Cocktail";" gin, apricot flavored brandy, lemon juice";2289.0
"Tennis Girl Cocktail";" dry vermouth, blended Scotch, lime juice";2290.0
"Ten Strike Cocktail";" pastis, gin, orange bitters, Angostura bitters";2291.0
"Ten Ton (tenton) Cocktail";" rye whiskey, grapefruit juice, dry vermouth";2292.0
"Ten Ton Cocktail #2";" kummel, gin, dry vermouth";2293.0
"Tequila Collins";" Tequila, lemon juice, sugar";2294.0
"Tequila Dub";" Dubonnet, Tequila";2295.0
"Tequila Fresa";" Tequila, strawberry-flavored liqueur, lime juice, orange bitters";2296.0
"Tequila Guayaba";" Tequila, lime juice, orange juice, guava nectar";2297.0
"Tequila Rickey";" Tequila, lime juice";2298.0
"Tequila Straight";" Tequila";2299.0
"Terry Sloan Cooler";" gin, lemon juice, crème de cassis, sugar";2300.0
"Texas Fizz";" gin, lemon juice, orange juice, grenadine";2301.0
"Texas Ranger Cocktail";" grapefruit juice, dry vermouth, sweet vermouth, gin, maraschino liqueur";2302.0
"Texas Special Cocktail";" grapefruit juice, gin, Cointreau, dry vermouth, Cognac";2303.0
"Tex Collins";" grapefruit juice, gin, honey";2304.0
"T.s.i.t.e. (they Shall Inherit The Earth) Cocktail";" lemon juice, brandy, Benedictine, Cointreau";2305.0
"Thomas & Jeremiah";" white rum, lemon juice, brown sugar";2306.0
"Thompson Cocktail";" Bourbon or rye whiskey, sweet vermouth";2307.0
"Three Faces";" white rum, Galliano, Campari";2308.0
"Three Fourths";" brandy, Curaçao, Yellow Chartreuse";2309.0
"Thumper";" liquor or vodka, Tuaca";2310.0
"Thumper Variation";" brandy, Tuaca";2311.0
"Tia Mint";" Tia Maria, crème de menthe";2312.0
"Tin Wedding Cocktail";" brandy, gin, sweet vermouth, orange bitters";2313.0
"Tip Toe Cocktail";" sloe gin, lemon juice, dry vermouth";2314.0
"Tiptoes Cocktail";" Bourbon or rye whiskey, gin, kirsch, sweet vermouth";2315.0
"Tip Top Punch";" brandy, Benedictine, lemon juice, sugar";2316.0
"Tivoli Special";" Cherry Heering, lemon juice";2317.0
"Tobago Cocktail";" gin, gold rum, lime juice, guava nectar, 151 proof rum";2318.0
"Tokay Flip";" Tokay wine, egg, sugar";2319.0
"Tomate";" pastis, grenadine";2320.0
"Tom Johnston Cocktail";" blended Scotch, Cointreau, sweet vermouth, lime juice";2321.0
"Tom Moore Cocktail";" Irish whiskey, sweet vermouth, Angostura bitters";2322.0
"Tonga";" white rum, orange juice, lime juice, lemon juice, grenadine, Cognac, Jamaican rum, sugar";2323.0
"Top Hot Cocktail";" white rum, grenadine";2324.0
"Topper Cocktail";" crème de menthe, apricot flavored brandy, Cognac, pastis";2325.0
"Topper Dessert Cocktail";" Cognac or brandy, crème de menthe, vanilla ice cream";2326.0
"Torero";" Cognac, Kahlua, egg white";2327.0
"Toronto Cocktail";" rye whiskey, Fernet Branca, sugar, Angostura bitters";2328.0
"Tortuga";" white rum, 151 proof rum, sweet vermouth, Curaçao, grenadine, lemon juice, lime juice, orange juice, crème de cacao";2329.0
"Tower Isle Cocktail";" white rum, coconut cream, crème de cacao";2330.0
"Trader Vic's Champagne Apricot";" Southern Comfort";2331.0
"Trader Vic's Punch";" white rum, Jamaican rum, lemon juice, orange juice, pineapple slice, orgeat, sugar";2332.0
"Trader Vic's Rum Fizz";" white rum, lemon juice, cream or soda, egg, sugar";2333.0
"Trade Winds";" gold rum, plum brandy, lime juice, sugar";2334.0
"Transvaal Cocktail";" Dubonnet, gin, orange bitters";2335.0
"Treasure Island Special";" pineapple juice, Jamaican rum, white rum, sugar, lime juice, peach-flavored brandy liqueur, Curaçao, Angostura bitters";2336.0
"Trio Cocktail";" dry vermouth, sweet vermouth, gin";2337.0
"Triplice Cocktail";" gin, Benedictine, dry vermouth";2338.0
"Trocadero Cocktail";" sweet vermouth, dry vermouth, orange bitters, grenadine";2339.0
"Trois Rivieries Cocktail";" Canadian whiskey, Dubonnet, Cointreau";2340.0
"Tropicale";" white rum, Galliano, grapefruit juice, Cointreau, Angostura bitters";2341.0
"Tropical Fizz";" gin, lime juice, egg white, pineapple juice";2342.0
"Tropical Itch";" 151 proof rum, Jamaican rum, Curaçao, Bourbon, Angostura bitters";2343.0
"Tropical Treasure";" pineapple juice, Curaçao, Galliano, egg white, Angostura bitters";2344.0
"Tropicana";" Galliano, coconut milk";2345.0
"Tropicana Belle";" genever gin, Calvados, Galliano, cherry";2346.0
"Tropic Jinks";" gin, lime juice";2347.0
"Tryst Cocktail";" sweet vermouth, parfait amour, blended Scotch, pastis, orange bitters";2348.0
"Tuaca Sour";" Tuaca, lemon juice, sugar";2349.0
"Tuaca Stinger";" Tuaca, crème de menthe";2350.0
"Tuacian";" Tuaca, lime juice, Curaçao, Galliano";2351.0
"Tuesday Weld";" cream, crème de cacao, brandy";2352.0
"Tudor Taylor";" vodka, grenadine";2353.0
"Turkish Harem Cooler";" rose wine";2354.0
"Turret Cocktail";" gin, lemon juice, Calvados, Swedish Punch/Punsch, grenadine";2355.0
"Tuscan";" lemon juice, Tuaca, maraschino liqueur";2356.0
"Tv. Set.";" Tuaca, anisette";2357.0
"Twelve Mile Out Cocktail";" white rum, Swedish Punch/Punsch, Calvados";2358.0
"Twentieth Century Cocktail";" gin, lemon juice, crème de cacao, Lillet Blanc";2359.0
"Twentieth Century Cocktail #2";" cream, crème de cacao, brandy";2360.0
"Two Fifty Two";" Wild Turkey 101, 151 proof rum";2361.0
"Tyrol";" Galliano, cream, green Chartreuse, brandy";2362.0
"Ulysses Cocktail";" brandy, dry vermouth, cherry flavored brandy";2363.0
"Undertaker's Cocktail";" cream, vodka, gin";2364.0
"Undertaker's Cocktail Variation";" crème de cacao, gin, vodka";2365.0
"Une Idee Cocktail";" Cognac, sweet vermouth, gin, apricot flavored brandy";2366.0
"Unie K";" Galliano, lime juice, vodka, grenadine";2367.0
"Unlsphere Cocktail";" gold rum, lime juice, pastis, Benedictine, grenadine";2368.0
"Up In The Air Cocktail";" gin, maraschino liqueur, lemon juice";2369.0
"Upissippi Cocktail";" gin, dry vermouth, sweet vermouth, grenadine";2370.0
"Upstairs";" Dubonnet, lemon juice";2371.0
"Upstarter";" Galliano, vodka, peach-flavored brandy liqueur";2372.0
"Up To Date Cocktail";" Bourbon or rye whiskey, cocktail Sherry, Grand Marnier, Angostura bitters";2373.0
"Vail Cocktail";" rye whiskey, dry vermouth, Benedictine";2374.0
"Valencia Punch";" apricot flavored brandy, orange juice, orange bitters";2375.0
"Valencia Punch Variation";" orange juice, apricot flavored brandy";2376.0
"Van Cocktail";" gin, dry vermouth, Grand Marnier";2377.0
"Vancouver Cocktail";" gin, sweet vermouth, Benedictine, orange bitters";2378.0
"Vandermint Julep";" Bourbon, Vandermint, Vandermint";2379.0
"Vandermist";" Vandermint";2380.0
"Van Der Spritz";" Vandermint";2381.0
"V And V";" vodka, Vandermint";2382.0
"Vanilla Cooler";" cream, brandy, vanilla ice cream";2383.0
"Vanilla Punch";" brandy, crème de vanille, lemon juice";2384.0
"Vaulter";" Bourbon, twist or lemon wheel";2385.0
"Vel D'hiv Cocktail";" Cognac, Benedictine, lemon juice, Angostura bitters";2386.0
"Velocity Cocktail";" sweet vermouth, gin";2387.0
"Velvet Cocktail";" Dubonnet, gin, Mandarinette";2388.0
"Velvet Cup";" Champagne, stout";2389.0
"Velvet Gaff Cooler";" porter";2390.0
"Vendome Cocktail";" Dubonnet, gin, dry vermouth";2391.0
"Venice Cooler";" brandy, lemon juice, egg, sugar";2392.0
"Vera Hiball";" pastis";2393.0
"Verboten Cocktail";" gin, orange juice, lemon juice, fruit garnish";2394.0
"Veritas Cocktail";" lime juice, Cointreau, gin, crème de cassis";2395.0
"Vermont Cocktail";" maple syrup, Benedictine, gin, apricot flavored brandy, applejack";2396.0
"Vermouth Aperitif";" sweet vermouth, twist or lemon wheel";2397.0
"Vermouth Curacao";" dry vermouth, Curaçao";2398.0
"Vermouth Curacao Variation";" dry vermouth, Curaçao";2399.0
"Vermouth Cooler";" sweet vermouth, vodka, lemon juice, sugar";2400.0
"Vermouth Frappe";" sweet vermouth, Angostura bitters";2401.0
"Vermouth Maraschino Cocktail";" dry vermouth, lemon juice, maraschino liqueur, orange bitters";2402.0
"Vermouth Triple Sec Cocktail";" gin, dry vermouth, triple sec, orange bitters";2403.0
"Vesper Cocktail";" gin, crème de noyeau, Angostura bitters, orange bitters";2404.0
"Vesper Martini";" gin, vodka, Lillet Blanc";2405.0
"Via Veneto Cocktail";" brandy, egg white, lemon juice, sambuca, sugar";2406.0
"Vicomte Cocktail";" gin, crème de rose, dry vermouth";2407.0
"Victory Hiball";" pastis, grenadine";2408.0
"Vie Rose Cocktail";" kirsch, gin, grenadine, lemon juice";2409.0
"Viking";" Galliano, aquavit";2410.0
"Villa Roma Cocktail";" orange juice, Galliano, lime juice";2411.0
"Violet Fizz";" gin, lemon juice, crème de violette, sugar";2412.0
"Violet Fizz Variation";" gin, lemon juice, cream, grenadine";2413.0
"Virgin Cocktail";" gin, crème de menthe, Forbidden Fruit";2414.0
"Vladivostok Virgin";" vodka, gin, grapefruit juice, Angostura bitters";2415.0
"Vodka Cocktail";" vodka, cherry flavored brandy, lemon juice";2416.0
"Vodka Cocktail Variation";" dry vermouth, vodka, cream, Strega";2417.0
"Vodka Fraise Cocktail";" white rum, vodka, grenadine, lime juice, strawberry-flavored liqueur";2418.0
"Vodka Gypsy";" vodka, Benedictine, aromatic bitters";2419.0
"Vodka Iceberg";" vodka, pastis";2420.0
"Vodka Milk Punch";" milk, vodka, peppermint schnapps, sugar";2421.0
"Vodka Old Fashioned";" vodka, sugar, aromatic bitters";2422.0
"Vodka '7'";" vodka, lime juice";2423.0
"Vodka Sling";" vodka, water or sugar";2424.0
"Vodka Sling Variation";" vodka, water or sugar";2425.0
"Vodka Sour";" vodka, lemon juice, sugar";2426.0
"Vodka Stinger";" vodka, crème de menthe";2427.0
"Volare";" lemon juice, apple juice, Galliano";2428.0
"Volga Cocktail";" gin, prune juice, lemon juice";2429.0
"Volstead Cocktail";" rye whiskey, Swedish Punch/Punsch, grenadine, orange juice, anisette";2430.0
"Vonnie's Delight";" coffee-flavored liqueur, Galliano";2431.0
"Wagner Cocktail";" cherry flavored brandy, sweet vermouth, sloe gin, orange bitters";2432.0
"Wagon Wheel";" Southern Comfort, lemon juice, Cognac, grenadine";2433.0
"Wahine";" pineapple juice, white rum";2434.0
"Wahine's Delight";" gold rum, lemon juice, orgeat";2435.0
"Wailuc Cocktail";" sweet vermouth, gin, maraschino liqueur";2436.0
"Wallick's Cocktail";" triple sec, cherry flavored brandy";2437.0
"Wallick's Special Cocktail";" brandy, cream, lime juice, egg white, grenadine, sugar";2438.0
"Wally's Cocktail";" gin, crème de menthe, Cointreau, lemon juice";2439.0
"Wally's Cocktail #2";" brandy, lemon juice, Benedictine";2440.0
"Wally's Cocktail Variation";" brandy, lemon juice, Benedictine";2441.0
"Walsh Champagne Cocktail";" lemon wheel, sprig of mint, sugar";2442.0
"Walter's Cocktail";" blended Scotch, orange juice, lemon juice";2443.0
"Wanda Cocktail";" Cognac, kummel";2444.0
"Warden Cocktail";" gin, pastis, dry vermouth";2445.0
"Ward's Cocktail";" brandy, green Chartreuse";2446.0
"Watermelon Cassis";" gin, lemon juice, crème de cassis";2447.0
"Waverly Cocktail";" gin, orange juice, crème de cassis";2448.0
"Wax Cocktail";" London dry gin, orange bitters";2449.0
"W.b.m. Cocktail";" dry vermouth, sloe gin, brandy";2450.0
"W.c.t.u. Cocktail";" dry vermouth, brandy, orange bitters, Angostura bitters";2451.0
"Wedding March Cocktail";" white rum, lime juice, egg white, sugar, Angostura bitters";2452.0
"Wedding Night Cocktail";" white rum, maple syrup, lime juice";2453.0
"Weesuer (special) Cocktail";" Curaçao, gin, dry vermouth, sweet vermouth, pastis";2454.0
"Weissmuller";" gin, white rum, lemon juice, grenadine, sugar";2455.0
